frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,http.host,http.request.method,dns.qry.name
"90","Mar 27, 2025 11:29:49.300691000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"91","Mar 27, 2025 11:29:49.300691000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"92","Mar 27, 2025 11:29:49.300691000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"93","Mar 27, 2025 11:29:49.300691000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"94","Mar 27, 2025 11:29:49.300691000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"95","Mar 27, 2025 11:29:49.300691000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"96","Mar 27, 2025 11:29:49.300691000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"97","Mar 27, 2025 11:29:49.300691000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"98","Mar 27, 2025 11:29:49.300691000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"99","Mar 27, 2025 11:29:49.300691000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"100","Mar 27, 2025 11:29:49.300691000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"101","Mar 27, 2025 11:29:49.300691000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"102","Mar 27, 2025 11:29:49.300691000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"103","Mar 27, 2025 11:29:49.300691000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"104","Mar 27, 2025 11:29:49.300691000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"105","Mar 27, 2025 11:29:49.300810000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"106","Mar 27, 2025 11:29:49.300810000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"107","Mar 27, 2025 11:29:49.300810000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"108","Mar 27, 2025 11:29:49.300810000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"109","Mar 27, 2025 11:29:49.300810000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"110","Mar 27, 2025 11:29:49.300810000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"111","Mar 27, 2025 11:29:49.300810000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"112","Mar 27, 2025 11:29:49.300810000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"113","Mar 27, 2025 11:29:49.300810000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"114","Mar 27, 2025 11:29:49.300810000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"115","Mar 27, 2025 11:29:49.300810000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"116","Mar 27, 2025 11:29:49.300810000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"117","Mar 27, 2025 11:29:49.300810000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"118","Mar 27, 2025 11:29:49.300810000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"119","Mar 27, 2025 11:29:49.325505000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"120","Mar 27, 2025 11:29:49.325505000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"121","Mar 27, 2025 11:29:49.325505000 India Standard Time","20.195.84.23","172.16.44.224","443","51491",,,,,
"122","Mar 27, 2025 11:29:49.336300000 India Standard Time","172.16.44.224","35.174.127.31","51935","443",,,,,
